definition,id,part_of_speech,ruthes_name
,125236-N,N,"СТРАНСТВОВАТЬ, БРОДИТЬ ПО СВЕТУ"
"расстояние от поверхности до дна, до наиболее отдалённой точки или до определённой точки внутри чего-либо",106759-N,N,ГЛУБИНА (РАССТОЯНИЕ)
,119592-N,N,ПРОМЕЖУТОЧНОЕ РАСПОЛОЖЕНИЕ
,145366-N,N,ЭСТРАДНОЕ ПРЕДСТАВЛЕНИЕ
,2071-N,N,ЭНЕРГОБЛОК
"вызвать, пробудить (мысли, чувства, желания и т. п.)",116365-N,N,"БУДИТЬ МЫСЛЬ, ЧУВСТВО"
,143814-N,N,ЭЛЕКТРИЧЕСКИЙ КАБЕЛЬ
"быстро и много говорить; тараторить, трещать",118325-N,N,ТАРАТОРИТЬ
,139165-N,N,БОГОТА
"вывод, полученный на основе умозаключения, интуиции, а не на основе фактов",115512-N,N,ДОМЫСЕЛ
руководящий орган в компании или учреждении.,123565-N,N,ПРАВЛЕНИЕ ОРГАНИЗАЦИИ
,149870-N,N,СТЕНА В ОТНОШЕНИЯХ
,105563-N,N,КАРАЧАЕВЦЫ
,2666-N,N,ПОДПИСКА НА ПЕРИОДИЧЕСКИЕ ИЗДАНИЯ
незанятое место в штате организации,2044-N,N,ВАКАНТНОЕ МЕСТО
,811-N,N,БОЕПРИПАСЫ
,104521-N,N,ОМАН
,138163-N,N,КУРСОР
ударный музыкальный инструмент в виде двух круглых и плоских металлических пластинок,109036-N,N,МУЗЫКАЛЬНАЯ ТАРЕЛКА
,126772-N,N,ПЛОТНИЦКИЕ РАБОТЫ
,129713-N,N,"ВСТАВКА (ТО, ЧТО ВСТАВЛЕНО)"
высококлассный специалист в какой-либо предметной области,6577-N,N,ЭКСПЕРТ
"совокупность каких-либо объектов, образующих единое целое",106508-N,N,"СОВОКУПНОСТЬ, ЦЕЛОЕ"
,5119-N,N,МИРНОЕ НАСЕЛЕНИЕ
,127232-N,N,ОБОЙТИ СТОРОНОЙ
,110619-N,N,МЕЖДОМЕТИЕ (ЧАСТЬ РЕЧИ)
"позволять удалиться, давать возможность двигаться",115444-N,N,ОТПУСТИТЬ (ПОЗВОЛИТЬ УДАЛИТЬСЯ)
о пище - лишенный ярко выраженных вкусовых свойств; пресный,124480-N,N,"БЕЗВКУСНЫЙ, ПРЕСНЫЙ"
грузовой автомобиль с механически опрокидывающимся кузовом,4967-N,N,АВТОСАМОСВАЛ
,107142-N,N,ЛЕСТЬ
,103884-N,N,ТЕЛЬ-АВИВ
,3619-N,N,СПРАВОЧНАЯ ЛИТЕРАТУРА
,152431-N,N,ЛЕТНИЙ КУРОРТ
,128315-N,N,ФЕДЕРАЛИЗМ (ГОСУДАРСТВЕННОЕ УСТРОЙСТВО)
,137799-N,N,ПУШОК НА ТЕЛЕ
,154458-N,N,ПЛОХАЯ ЭКОЛОГИЯ
,135505-N,N,МАФИОЗИ
,129267-N,N,ХОРДА ОКРУЖНОСТИ
,104226-N,N,ПЕКИН
,105091-N,N,КАВАСАКИ
,119598-N,N,ТЯЖЕЛЫЙ (ОПАСНЫЙ)
,131739-N,N,НЬЮЙОРКЦЫ
граница плоской фигуры,135409-N,N,ПЕРИМЕТР ГЕОМЕТРИЧЕСКОЙ ФИГУРЫ
"тот, кто покупает что-либо, то есть целенаправленно приобретает в обмен на деньги или другие ценности",4885-N,N,ПОКУПАТЕЛЬ
,135002-N,N,ТЯЖКОЕ ПРЕСТУПЛЕНИЕ
сжигать труп в специально оборудованной печи,4196-N,N,КРЕМАЦИЯ
,809-N,N,СЕРЖАНТСКИЙ СОСТАВ
,4343-N,N,АЭРОСЪЕМКА
,117800-N,N,СУШИЛЬНОЕ ПОМЕЩЕНИЕ
,2048-N,N,МУНИЦИПАЛЬНАЯ СОБСТВЕННОСТЬ
,100144-N,N,ГЯНДЖА
развернуть что-либо скатанное,118692-N,N,РАСКАТАТЬ (РАЗВЕРНУТЬ)
,153574-N,N,ЗЕЛЕНКА (МЕДИКАМЕНТ)
"внутренняя задняя часть глазного яблока, воспринимающая световую информацию",112438-N,N,СЕТЧАТКА ГЛАЗА
,3753-N,N,ВЫДЕЛЕНИЕ ЗЕМЛИ
,1655-N,N,ТАМОЖЕННЫЙ КОНТРОЛЬ
"группа, отряд участников такого путешествия",146542-N,N,ЭКСПЕДИЦИОННАЯ ГРУППА
,5425-N,N,КИНОПЛЕНКА
,138500-N,N,СОЗВЕЗДИЕ РАКА
,110020-N,N,МУЖСКИЕ ПОЛОВЫЕ ОРГАНЫ
"бытовое название сахарозы, пищевой продукт, белый кристаллический порошок сладкого вкуса, или куски, прессуемые из такого порошка",1230-N,N,САХАР
,120502-N,N,ОСТАНОВИТЬ ДВИЖЕНИЕ
"семидневный промежуток времени, посвящённый какому-либо событию, мероприятию и т. п.",106733-N,N,НЕДЕЛЯ
разделить предмет на части ударом,110823-N,N,КОЛОТЬ НА ЧАСТИ
,101934-N,N,ОСТАНКИНО
"намеренно запутанная сеть дорожек, аллей в парке; часть парка с такими дорожками",145666-N,N,"ЛАБИРИНТ ХОДОВ, ПРОХОДОВ"
корпус летательного аппарата тяжелее воздуха,109402-N,N,ФЮЗЕЛЯЖ
,127433-N,N,ПАДЕЖ СКОТА
небольшой круглый хлебец,108429-N,N,КОЛОБОК
искусный и опытный в каком-либо деле человек,134620-N,N,"МАСТЕР, ИСКУСНИК"
,125883-N,N,ВЫСЕЧЬ ИЗ КАМНЯ
,113266-N,N,ЦЕРКОВНОСЛУЖИТЕЛЬ
,105671-N,N,НУРЕК
крайнее недовольство,107060-N,N,"ВОЗМУЩЕНИЕ, НЕГОДОВАНИЕ"
ритмично колебаться из стороны в сторону,111157-N,N,КАЧАТЬСЯ ИЗ СТОРОНЫ В СТОРОНУ
,144664-N,N,ИГРА НА МИЗЕРЕ
"обмотать и затянуть чем-либо длинным и гибким, завязав",116334-N,N,ОБВЯЗАТЬ (ОБМОТАТЬ И ЗАВЯЗАТЬ)
,5803-N,N,КАРАНДАШ
,100143-N,N,АСТАРА
"обманное движение, ложный выпад",129477-N,N,"ФИНТ, ОБМАННОЕ ДВИЖЕНИЕ"
"неявка на работу, учебное занятие и т. п. без уважительной причины",5167-N,N,ПРОГУЛ
специалист в области зоологии,10004-N,N,ЗООЛОГ
острым предметом наносить тонкие борозды на поверхность или разрывать её,115800-N,N,"ЦАРАПАТЬ, ДЕЛАТЬ ЦАРАПИНЫ"
,145435-N,N,ЗАТРАТЫ ПРЕДПРИЯТИЯ
,111475-N,N,НАРУШЕНИЕ ОБМЕНА ВЕЩЕСТВ
форма объединения самостоятельных организаций,128317-N,N,ФЕДЕРАЦИЯ (ОРГАНИЗАЦИЯ)
,9366-N,N,ЭЛЕКТРОХИМИЧЕСКИЙ ПРОЦЕСС
"терпимость к чужому образу жизни, поведению, чужим обычаям, чувствам, верованиям, мнениям, идеям и т. п.",120408-N,N,ТЕРПИМОСТЬ К ЛЮДЯМ
,153704-N,N,РОГОВОЙ МАТЕРИАЛ
"работник, отвечающий за безопасность определённого человека, охраняющий его от возможного нападения",7036-N,N,ЛИЧНЫЙ ОХРАННИК
,116787-N,N,УГОН ТРАНСПОРТНОГО СРЕДСТВА
,5288-N,N,ЗЕРНООЧИСТКА
,132924-N,N,НЕДОБОР (НЕПОЛНОЕ КОЛИЧЕСТВО)
продолжающийся непрерывно; постоянный,119120-N,N,ПЕРМАНЕНТНЫЙ
,147186-N,N,ПРИКЛАДНОЕ ИСПОЛЬЗОВАНИЕ
,139889-N,N,ЧУГУНОЛИТЕЙНЫЙ ЗАВОД
,102422-N,N,ЩУГОР
возвышение вокруг арены античного цирка с местами для особо почётных зрителей,127607-N,N,ПОДИУМ
,144094-N,N,МУЗЫКАЛЬНЫЙ ФИЛЬМ
,111858-N,N,ВЫКРИК
,100009-N,N,ИНДИЙСКИЙ ОКЕАН
,8796-N,N,МОСТОВОЙ КРАН
,129911-N,N,ЭНЕРГЕТИЧЕСКИЙ ТАРИФ
,145050-N,N,ПУТЕВЫЕ РАБОТЫ
,112307-N,N,ЧЕТВЕРТЬФИНАЛ
,152203-N,N,ЭЛЕКТРОННЫЙ ИНФОРМАЦИОННЫЙ КИОСК
"хождение на открытом воздухе или поездка на недалекое расстояние с целью отдыха, развлечения",116599-N,N,ПРОГУЛКА
"развиваясь, укрепляться, крепнуть",141428-N,N,ЗРЕТЬ (ФОРМИРОВАТЬСЯ)
,105305-N,N,КАБАРДИНО-БАЛКАРИЯ
,130846-N,N,ДОКУМЕНТАЛЬНАЯ ЭЛЕКТРОСВЯЗЬ
,136995-N,N,СЕДАТИВНЫЕ СРЕДСТВА
,154282-N,N,"ВЫСТАВИТЬ ПОСТ, ОХРАНУ"
,145670-N,N,БЮРОКРАТИЗАЦИЯ
,115081-N,N,КИКИМОРА (МИФОЛОГИЧЕСКОЕ СУЩЕСТВО)
,1563-N,N,ВЫБОРНОСТЬ
"портрет художника, выполненный им самим",115772-N,N,АВТОПОРТРЕТ
,134011-N,N,ПОЛЫНЬЯ
"род сухопутных войск, предназначенный для ведения боевых действий и передвижений в пешем строю  (на собственных ногах)",113366-N,N,ПЕХОТА
боковая вспомогательная пристройка к основному зданию,109269-N,N,ФЛИГЕЛЬ
,124287-N,N,КОСОВО
,103017-N,N,УРАЙ
,5533-N,N,КАМБАЛА
"лечебное учреждение с постоянными местами (койками) для больных, предназначенное для их круглосуточного пребывания, непрерывного наблюдения за ними и оказания им необходимой и достаточной помощи",113278-N,N,СТАЦИОНАРНОЕ ЛЕЧЕБНОЕ УЧРЕЖДЕНИЕ
,144299-N,N,ФИНАНСОВЫЕ РЕСУРСЫ
отличающийся мастерством высокого класса,119549-N,N,ПЕРВОКЛАССНЫЙ
"житель, уроженец или потомок уроженцев Дании",105375-N,N,ДАТЧАНЕ
,145152-N,N,ОБРАБОТКА ИНФОРМАЦИИ
,110621-N,N,НАКЛОНЕНИЕ ГЛАГОЛА
,106397-N,N,СИХОТЭ-АЛИНЬ
,116306-N,N,РАЗМЕН ДЕНЕГ
"поведение, поступки подхалима, лесть и угодничество по отношению к вышестоящим",121395-N,N,ПОДХАЛИМСТВО
,148898-N,N,МОРКОВЬ (ОВОЩИ)
,101159-N,N,ОБВА
"подчинить своей воле, укротить",133231-N,N,"УКРОТИТЬ, ОБУЗДАТЬ"
"многолетнее древовидное растение, не имеющие во взрослом состоянии главного ствола",4339-N,N,КУСТАРНИК
,3610-N,N,КОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ
"мелкий, гладко обточенный водой камень",109876-N,N,ГАЛЬКА
"водный аттракцион, буксируемое плавсредство, формой напоминающее банан",148878-N,N,ВОДНЫЙ БАНАН
,144190-N,N,ОБЛЕПИХА (РАСТЕНИЕ)
,8076-N,N,ИЗБИРАТЕЛЬНЫЙ ЯЩИК
осуществляемый при непосредственном участии человека,150221-N,N,ЛИЧНОЕ ОСУЩЕСТВЛЕНИЕ
,112229-N,N,КАРАКУЛЬСКАЯ ОВЦА
,120962-N,N,ЗАГАР
,124634-N,N,"ГРОМОЗДИТЬ, НАГРОМОЖДАТЬ"
устройство для сжатия и подачи воздуха или другого газа под давлением.,4868-N,N,КОМПРЕССОР
"о животных· умереть, издохнуть",115314-N,N,ДОХНУТЬ (УМИРАТЬ)
,142169-N,N,ОПЫТНО-КОНСТРУКТОРСКИЕ РАБОТЫ
"предприятие общественного питания (обычно с музыкальной эстрадой и некоторыми другими развлечениями), работающее преимущественно в вечернее и ночное время, где можно заказать дорогие блюда, закуску, напитки",4543-N,N,РЕСТОРАН
"передаваемое сведение, известие.",106605-N,N,"СООБЩЕНИЕ, ИЗВЕСТИЕ"
"обработать волосы расчёской или гребнем, распутывая, расправляя, приглаживая",118271-N,N,"РАСЧЕСАТЬ ВОЛОСЫ, ШЕРСТЬ"
,110940-N,N,САКВОЯЖ
,135700-N,N,ЭЛИКСИР (КРЕПКИЙ НАСТОЙ)
,129027-N,N,БАБАЮРТ
,108903-N,N,ПЕВЧЕСКИЙ ГОЛОС
"заметный на местности неподвижный предмет, помогающий определять направление движения, находить цель",150297-N,N,ОРИЕНТИР В ДЕЯТЕЛЬНОСТИ
"снабжать, снабдить водой",489-N,N,ВОДОСНАБЖЕНИЕ
,120469-N,N,ИСТЕРЗАННЫЙ (РАСТРЕПАННЫЙ)
обрабатывать особым образом скоропортящиеся продукты питания с целью сохранения их от порчи при длительном хранении,5731-N,N,КОНСЕРВИРОВАНИЕ ПИЩЕВЫХ ПРОДУКТОВ
,8476-N,N,ПУЛЕМЕТ
"проделать сверлом, буравом и т. п. отверстие в чём-либо; провертеть",111854-N,N,СВЕРЛИЛЬНЫЕ РАБОТЫ
,112386-N,N,"ПРИСЫПАТЬ, ПРИПОРОШИТЬ"
,126802-N,N,ФАРФОРОВАЯ ПОСУДА
,129457-N,N,ФОЛЬКЛОРИСТИКА
,113939-N,N,ПРИДЕЛ ХРАМА
"виртуальное или физическое персональное электронное устройство, принимающее информацию в цифровой или аналогичной форме и манипулирующее данной информацией на основе последовательности команд для достижения конкретных результатов",4651-N,N,ПЕРСОНАЛЬНЫЙ КОМПЬЮТЕР
,139365-N,N,ЗВЕЗДНЫЙ ЧАС
,8465-N,N,ПОЛОВАЯ ПРИНАДЛЕЖНОСТЬ
предварительное условие чего-либо,115552-N,N,"ПРЕДПОСЫЛКА ДЛЯ РЕАЛИЗАЦИИ, РАЗВИТИЯ"
"погрузив в воду, обмыть; искупать",112739-N,N,КУПАТЬ
,117202-N,N,"ТАВРО, КЛЕЙМО НА ЖИВОТНОМ"
,148988-N,N,ПОКАЗАТЕЛЬ ДЕЯТЕЛЬНОСТИ БАНКА
,110946-N,N,СТОЛОВОЕ БЕЛЬЕ
"вторая степень числа, его произведение на самого себя",110701-N,N,КВАДРАТ ЧИСЛА
,9440-N,N,НАЕМНИЧЕСТВО
"паломничество правоверных мусульман в Мекку (к храму Кааба), в Медину (к гробу Мухаммеда), считающееся подвигом благочестия, которое хотя бы один раз в жизни должен совершить каждый истинный мусульманин",126874-N,N,ХАДЖ
,131126-N,N,АДМИНИСТРАЦИЯ ЗАВОДА
,3400-N,N,ПОЖАРНАЯ БЕЗОПАСНОСТЬ
,149752-N,N,СИНТЕЗ ВЕЩЕСТВ
,100986-N,N,ТОКМАК
,6639-N,N,ПОЛИТИЧЕСКОЕ ТЕЧЕНИЕ
"настойчивый в своих требованиях; повелительный, властный",118937-N,N,"ТРЕБОВАТЕЛЬНЫЙ, ВЗЫСКАТЕЛЬНЫЙ"
"об информации - усваивать, воспринимать, обдумывать",130169-N,N,ВПИТАТЬ ИНФОРМАЦИЮ
"cовокупность характерных, своеобразных черт, отличающих какого-либо человека от другого",140643-N,N,ИНДИВИДУАЛЬНОСТЬ (СОВОКУПНОСТЬ ОТЛИЧИТЕЛЬНЫХ ЧЕРТ)
,128327-N,N,ПРИСТРЕЛКА ПРИЦЕЛА
,100589-N,N,ГОРОХОВЕЦ
"название, имя, даваемое животному",136564-N,N,КЛИЧКА ЖИВОТНОГО
,127194-N,N,ОБЕЗЛЮДЕТЬ
,141032-N,N,СУШЕНЫЕ ПРОДУКТЫ
,120985-N,N,КРЕЩЕНИЕ (ЦЕРКОВНЫЙ ПРАЗДНИК)
,102941-N,N,ЗАВОДОУКОВСК
,104122-N,N,МЕССИНА
"дислоцировать (вооруженные силы, технику, какие-либо ресурсы и т. п.) заново или иначе",137531-N,N,ПЕРЕДИСЛОКАЦИЯ
,116909-N,N,ИНСТРУКТИРОВАТЬ
"высокосортное игристое виноградное вино, насыщенное углекислым газом",108935-N,N,ШАМПАНСКОЕ
,106234-N,N,БАГУЛАЛЫ
,142425-N,N,ЭЛЕКТРОННАЯ БИБЛИОТЕКА
,153203-N,N,ПАНК-ГРУППА
,119589-N,N,ДОЛГОВРЕМЕННЫЙ (ПРОЧНЫЙ)
,129397-N,N,"УСТУП (СТУПЕНЬ, ВЫЕМКА)"
"вытянутая в длину возвышенность; ряд, цепь небольших гор, холмов и т. п.",130759-N,N,"ГРЯДА ГОР, ХОЛМОВ"
,149712-N,N,СИНТЕТИЧЕСКОЕ ВОЛОКНО
,128993-N,N,САМОКРИТИКА
,117332-N,N,ПОДШУТИТЬ
,146825-N,N,АКСЕССУАРЫ ДЛЯ ВОЛОС
,138645-N,N,ЕДИНИЦА РАДИОАКТИВНОСТИ
,4307-N,N,ПЛОДОРОДНАЯ ПОЧВА
,5703-N,N,ЗОЛА
,101596-N,N,ЕЛГАВА
,5641-N,N,ВЯЗ
,137548-N,N,ПРОХЛАДНЫЙ (НЕ ЖАРКИЙ)
,148142-N,N,ВАЛЛИЙСКИЙ ЯЗЫК
"кредитно-финансовое учреждение, сосредоточивающее денежные средства и накопления, предоставляющее кредиты, осуществляющее денежные расчеты между предприятиями или частными лицами, выпуск денег в обращение, операции с ценными бумагами",1278-N,N,БАНК (ФИНАНСОВОЕ УЧРЕЖДЕНИЕ)
,134841-N,N,НЕТРАДИЦИОННАЯ СЕКСУАЛЬНАЯ ОРИЕНТАЦИЯ
,109926-N,N,ПРЕЛЮДИЯ (МУЗЫКАЛЬНОЕ ПРОИЗВЕДЕНИЕ)
,119181-N,N,УПОИТЕЛЬНЫЙ
,106372-N,N,БОСТОН
,102072-N,N,ЩЕРБИНКА
,5203-N,N,ВЕРИТЕЛЬНАЯ ГРАМОТА
,4080-N,N,ПЕРЕРАБОТКА СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПРОДУКЦИИ
"часть тела между грудью и ногами у человека и животных, живот",152921-N,N,ЖИВОТ ЖИВОТНОГО
,125697-N,N,ЛЮБИМЫЙ ЧЕЛОВЕК
государственная поддержка,10059-N,N,ГОСУДАРСТВЕННАЯ ПОМОЩЬ
,138697-N,N,ЕНИСЕЙСКИЙ ЗАЛИВ
,120934-N,N,ТАМПОН
,104295-N,N,РЕСПУБЛИКА КУБА
"происшествие, событие, случай; то, что произошло однажды",148615-N,N,НЕЗНАЧИТЕЛЬНЫЙ ЭПИЗОД
"поклонение идолам (обычное для многобожия) как религиозный культ. В авраамических религиях (иудаизм, христианство, ислам) — поклонение идолу, как подмена поклонению истинному Богу",111966-N,N,ИДОЛОПОКЛОННИЧЕСТВО
"молодая ветка растения, новый стебель с почками и листьями",109715-N,N,ПОБЕГ РАСТЕНИЯ
разность между денежными поступлениями и расходами за определенный промежуток времени,149976-N,N,САЛЬДО ПО РАСЧЕТАМ
,131766-N,N,БАНК РОССИИ
,110792-N,N,ПРИКОВАТЬ (ПРИКРЕПИТЬ)
,149412-N,N,ПОЛЕТ ПТИЦЫ
,128557-N,N,ТЕЛЕРЕПОРТАЖ
,145701-N,N,ГЛЯНЦЕВЫЙ ЖУРНАЛ
,107494-N,N,"ЯДРО ГРУППЫ, КОЛЛЕКТИВА"
,118098-N,N,ЩИТ ПРИБОРОВ
,128915-N,N,УДАР ПО МЯЧУ В ФУТБОЛЕ
,111149-N,N,КАРОТИН
"сборник избранных произведений (литературных, философских, музыкальных) разных авторов",114053-N,N,АНТОЛОГИЯ
,135644-N,N,ГОСУДАРСТВЕННЫЕ СИМВОЛЫ РОССИИ
денежная единица Польши,104567-N,N,ПОЛЬСКИЙ ЗЛОТЫЙ
,6632-N,N,ИСКЛЮЧИТЕЛЬНАЯ ЭКОНОМИЧЕСКАЯ ЗОНА
,114412-N,N,ИКОНОПИСЕЦ
,137356-N,N,ЖЕЛЕЗНОДОРОЖНЫЙ ТУПИК
глава монархического государства,110193-N,N,МОНАРХ
,113650-N,N,КРЕСТЕЦ
"карманный компьютер, снабжённый модулем сотовой связи",146743-N,N,КОММУНИКАТОР (КАРМАННЫЙ КОМПЬЮТЕР)
"тот, кто несет гибель кому-либо, чему-либо, уничтожает кого-либо, что-либо",153832-N,N,ГУБИТЕЛЬ
,100108-N,N,ГОРНЫЙ ЛАНДШАФТ
"закрепиться, сохраниться (в сознании, памяти и т. п.)",118651-N,N,ЗАПЕЧАТЛЕТЬ В ПАМЯТИ
"контроль над самим собою, своим поведением, состоянием",128992-N,N,САМОКОНТРОЛЬ
,6210-N,N,ОРГАНЫ ДЫХАНИЯ
,9325-N,N,РЕКЛАМНЫЙ ЩИТ
"отдел учреждения, занятый делопроизводством, а также помещение этого отдела",3625-N,N,"СЕКРЕТАРИАТ, КАНЦЕЛЯРИЯ"
,1368-N,N,РАДИОДИАПАЗОН
,3229-N,N,РЕЛИГИОЗНОЕ ВОСПИТАНИЕ
,6717-N,N,ВОЕННЫЙ СПЕЦИАЛИСТ
"прямоугольник, у которого все четыре стороны равны",107023-N,N,КВАДРАТ (ФИГУРА)
,2311-N,N,ТОВАРООБМЕН
"тактичность в общении с людьми; учтивость, предупредительность, вежливость",118577-N,N,"КОРРЕКТНЫЙ (ВЕЖЛИВЫЙ, ТАКТИЧНЫЙ, УЧТИВЫЙ)"
,111608-N,N,"ОТРАВИТЬ, ПОДМЕШАТЬ ЯД"
,4739-N,N,ПРОМЫШЛЕННОСТЬ ДРАГОЦЕННЫХ МЕТАЛЛОВ
"воплотиться в конкретные формы, реализоваться, осуществиться",141461-N,N,МАТЕРИАЛИЗОВАТЬСЯ
"энергия, создаваемая беспорядочным движением частиц тела (атомов, молекул и т. п.) и проявляющаяся в его нагревании",9-N,N,ТЕПЛОВАЯ ЭНЕРГИЯ
,102803-N,N,АЛАКОЛЬ
,133914-N,N,ЧЕЛОВЕКО-ЧАС
,9525-N,N,БАЛЬНЕОЛОГИЧЕСКИЙ КУРОРТ
,152279-N,N,"ТЮБИНГ, НАДУВНЫЕ САНКИ"
,112934-N,N,"ОТПЛАТИТЬ, ВОЗДАТЬ"
,151332-N,N,ЧИХУАХУА (ПОРОДА СОБАК)
,8800-N,N,СОЛНЕЧНАЯ АКТИВНОСТЬ
,100202-N,N,ТЫРЫ
,140094-N,N,СМЫСЛ ЖИЗНИ
,117255-N,N,АРТИКУЛ
"остановить, прекратить что-либо путём применения энергичных, действенных мер",116063-N,N,ПРЕСЕЧЬ
,833-N,N,ЭКОНОМИЧЕСКАЯ ПОЛИТИКА
,151280-N,N,СОЦИАЛЬНЫЙ СИНДРОМ
,102551-N,N,КОРАБЛИНО
,136231-N,N,НАЧАЛЬНЫЕ КЛАССЫ
,9850-N,N,ЦВЕТНАЯ КАПУСТА
,141334-N,N,ИЗБРАННИК
,145252-N,N,ОБВАЛ ПОРОДЫ
,1321-N,N,"БАНКРОТСТВО, НЕСОСТОЯТЕЛЬНОСТЬ"
,106376-N,N,ЧЕЛНИНЦЫ
"элемент одежды, облегающий руку",109428-N,N,РУКАВ ОДЕЖДЫ
"сделать резкое, отрывистое движение (преим. ногой)",118259-N,N,ДЕРГАТЬ (РЕЗКО ШЕВЕЛИТЬ ЧАСТЬЮ ТЕЛА)
"часть города, выделенная для принудительного поселения лиц (первоначально евреев) по национальному, расовому или религиозному признаку",4402-N,N,ГЕТТО
,110312-N,N,ФУТУРИЗМ
"увеличение прочности, крепкости чего-либо",121959-N,N,УКРЕПИТЬ (УПРОЧИТЬ)
,104606-N,N,ЛЕЙРИЯ
"отодвинуться, стать расположенным на более далёком расстоянии от чего-либо",118450-N,N,"ОТСТУПИТЬ, ОТШАГНУТЬ"
"тонкая металлическая проволока в электрической лампе или пружина в каком-либо механизме, приборе",130134-N,N,"ВОЛОСОК (ТОНКАЯ ПРУЖИНА, НИТЬ ИЛИ ПРОВОЛОКА)"
,147994-N,N,ЖИДКАЯ ЛЕКАРСТВЕННАЯ ФОРМА
,142842-N,N,ПРИДНЕСТРОВЦЫ
,145033-N,N,МЕТАЛЛИЧЕСКАЯ ТРУБА
,107309-N,N,ПЛАСТИНА
"такой, который внушает чувство любви лицу другого пола, которому отдана любовь; дорогой, близкий сердцу",119188-N,N,"ЛЮБИМЫЙ, ИЗЛЮБЛЕННЫЙ"
,140504-N,N,СБАЛАНСИРОВАННОСТЬ
создание конструкции чего-либо,131959-N,N,КОНСТРУИРОВАТЬ (СОЗДАВАТЬ КОНСТРУКЦИЮ)
,136960-N,N,ВЕЧЕРНЕЕ ПЛАТЬЕ
,111090-N,N,"НАКЛОНИТЬ, СКЛОНИТЬ"
,119319-N,N,СУМРАЧНЫЙ (ОХВАЧЕННЫЙ СУМРАКОМ)
,8547-N,N,БУРИЛЬЩИК
"проезд колёсами по небольшому предмету, столкновение с небольшим предметом",117015-N,N,НАЕХАТЬ (НАТОЛКНУТЬСЯ)
вызвать у кого-либо сон; заставить заснуть,115316-N,N,"УСЫПИТЬ, ПОГРУЗИТЬ В СОН"
,112437-N,N,ГЛАЗНОЕ ЯБЛОКО
,150663-N,N,ФОРМА КОЛЬЦА
,112989-N,N,ПЕПЕЛ
,8194-N,N,АБОНЕНТСКИЙ ГРОМКОГОВОРИТЕЛЬ
,138064-N,N,ФОТОРОБОТ
"запись звука на электронном или механическом носителе, сделанная с помощью тех или иных технических средств; также процесс создания такой записи",153904-N,N,"АУДИОЗАПИСЬ, ФОНОГРАММА"
,144598-N,N,ТЕАТРАЛЬНЫЙ ЗАДНИК
"умильный, приторно-нежный или льстивый",119091-N,N,"ПРИТОРНЫЙ, ИЗЛИШНЕ ЛЮБЕЗНЫЙ"
,100978-N,N,ГОВЕРЛА
небольшое помещение специального назначения,108229-N,N,КАБИНА
,108973-N,N,УСЫ НА ЛИЦЕ
,111112-N,N,РАСКАЛИТЬ
,118839-N,N,"ОТДЕЛЬНЫЙ, ОБОСОБЛЕННЫЙ"
,115250-N,N,ЗЯБЬ
,9903-N,N,ФЕХТОВАЛЬЩИК
,103754-N,N,ГРЕЦИЯ
,131974-N,N,КООПЕРАТОР
каменная глыба или гора с крутыми склонами и острыми выступами,107633-N,N,СКАЛА
,102213-N,N,БОРОВИЧИ
"обучать животных определённым действиям, систематически закрепляя полученные ими навыки",114382-N,N,ДРЕССИРОВКА ЖИВОТНЫХ
,108191-N,N,ОГОНЬ (СВЕТ ОТ ОСВЕТИТЕЛЬНЫХ ПРИБОРОВ)
,8005-N,N,КОНСЕРВАТИВНАЯ ПАРТИЯ
,4122-N,N,АВТОРСКОЕ СВИДЕТЕЛЬСТВО
,131971-N,N,КООПЕРАЦИЯ
,134701-N,N,РЯБЬ В ГЛАЗАХ
"стадия; отдельная часть, промежуток времени в течение какого-либо процесса",123361-N,N,ЭТАП ПРОЦЕССА
"тот, кто из праздного любопытства засматривается на кого-либо или рассматривает что-либо",125719-N,N,ПРАЗДНЫЙ ЗЕВАКА
"обработать, придавая вид какого-либо материала",111870-N,N,ОТДЕЛАТЬ (ПРИДАТЬ ВИД)
,131785-N,N,ИНТУРИСТ
"недавно приобретённая, новая вещь (обычно об одежде)",127210-N,N,ОБНОВКА (НОВАЯ ВЕЩЬ)
,120086-N,N,ПОКЛОНЯТЬСЯ (ОТНОСИТЬСЯ К ЧЕМУ-ЛИБО С ПОЧИТАН.)
,126083-N,N,ДОЛГОЖИТЕЛЬ
"высказывание, обращение к кому-либо для получения ответа, например с целью получения информации",107255-N,N,ВОПРОС (ОБРАЩЕНИЕ)
,120434-N,N,РАДИРОВАТЬ
"спокойный, тихий, покорный",123512-N,N,"СМИРНЫЙ, ТИХИЙ"
,103299-N,N,СПЕНСЕР
,133627-N,N,ПЕРЕВЫПОЛНИТЬ ПЛАН
,116789-N,N,СРАВНЯТЬ (СДЕЛАТЬ РАВНЫМ)
,116341-N,N,ПОМЕСЬ (ЖИВОТНОЕ)
,109594-N,N,СОЛЬ (ХИМИЧЕСКОЕ СОЕДИНЕНИЕ)
,142807-N,N,УДЕЛЬНЫЙ ПАРАМЕТР
"становиться более старым, старшим",118082-N,N,"СТАРЕТЬ, СТАРИТЬСЯ"
,103368-N,N,КОРДОВА (ГОРОД АРГЕНТИНЫ)
,6209-N,N,ОРГАН ГОСУДАРСТВЕННОЙ ВЛАСТИ
