,child_id,parent_id,child_context,parent_context
10777,ХУДОЖНИК-МУЛЬТИПЛИКАТОР,ХУДОЖНИК (АВТОР ИЗОБРАЗИТЕЛЬНОГО ПРОИЗВЕДЕНИЯ),,
10778,НАРОДНЫЙ ХУДОЖНИК,ХУДОЖНИК (АВТОР ИЗОБРАЗИТЕЛЬНОГО ПРОИЗВЕДЕНИЯ)," Оказывается, известный сценограф, художник, народный художник РФ, заслуженный деятель искусств",
10779,ФОТОХУДОЖНИК,ХУДОЖНИК (АВТОР ИЗОБРАЗИТЕЛЬНОГО ПРОИЗВЕДЕНИЯ), Чему современный фотохудожник может поучиться у голландских живописцев,
10780,ГОЛОВА ЧЕЛОВЕКА,ГОЛОВА (ЧАСТЬ ТЕЛА)," Голова человека кругла, подобно небесной сфере",
10781,ГОЛОВА ЖИВОТНОГО,ГОЛОВА (ЧАСТЬ ТЕЛА),картинно боролась с мясистым удавом: голова животного закрывала ей причинное место,
10782,РАБОЧИЙ ТАКТ,РАБОТА УСТРОЙСТВА,,
10783,ИДТИ (РАБОТА УСТРОЙСТВА),РАБОТА УСТРОЙСТВА,,
10784,СРАБАТЫВАНИЕ УСТРОЙСТВА,РАБОТА УСТРОЙСТВА,,
10785,ХОЛОСТАЯ РАБОТА,РАБОТА УСТРОЙСТВА, Категорически запрещена холостая работа автомобильного двигателя в любом,
10786,ПОКУПАТЕЛЬ,ПРИОБРЕТАТЕЛЬ,"по мнению Алехина, отношения ""продавец― покупатель"" между ИТ-службой и бизнес-подразделениями в",
10787,"КВИЛТ, ЛОСКУТНОЕ ОДЕЯЛО",ОДЕЯЛО,,
10788,ИПРИТ,КОЖНО-НАРЫВНЫЕ ВЕЩЕСТВА," На базе хранится азотистый иприт, из-за чего порой на улице",
10789,КОМСОМОЛ,МОЛОДЕЖНОЕ ДВИЖЕНИЕ,"сам работал секретарём райкома ВЛКСМ, комсомол выдвинул меня народным депутатом СССР",
10790,ХИППИ,МОЛОДЕЖНОЕ ДВИЖЕНИЕ, Тогда американцы вслед за хиппи отправились на пляжи двух океанов,
10791,ПАНКИ,МОЛОДЕЖНОЕ ДВИЖЕНИЕ,не менее тут тоже были панки. ,
10792,ЮБИЛЕЙ,ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),"в будущем году отметит десятилетний юбилей, Niagara Computers её чуть старше",
10793,СТОЛЕТНЯЯ ГОДОВЩИНА,ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),войне 1812-го года и столетняя годовщина Великой Октябрьской революции. ,
10794,ДВУХЛЕТНЯЯ ГОДОВЩИНА,ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),,
10795,СОРОКАЛЕТИЕ (ГОДОВЩИНА СОБЫТИЯ),ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),,
10796,ТРЕХЛЕТИЕ (ГОДОВЩИНА СОБЫТИЯ),ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),,
10797,ТЫСЯЧЕЛЕТИЕ (ГОДОВЩИНА),ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),,
10798,ЧЕТЫРЕХЛЕТНЯЯ ГОДОВЩИНА,ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),дело поважнее белых ― приближался юбилей.   Четырехлетняя годовщина комсомола.   Машинка работала с,
10799,ПЯТИДЕСЯТИЛЕТИЕ (ГОДОВЩИНА),ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА),,
10800,"БУРАВ, РУЧНАЯ ДРЕЛЬ",ДРЕЛЬ,,
10801,КРЕДИТ БАНКА РОССИИ,ОПЕРАЦИИ БАНКА РОССИИ,,
10802,СВАДЬБА,ТОРЖЕСТВО (ПРАЗДНЕСТВО), [bigluck]   Но у Оли завтра свадьба с Колей. ,
10803,ТОРЖЕСТВЕННЫЕ ПРОВОДЫ,ТОРЖЕСТВО (ПРАЗДНЕСТВО),"возвращения «переселенцев», которым земляки устроили торжественные проводы, явно не ждали. ",
10804,ОГНЕПРОВОДНЫЙ ШНУР,ФИТИЛЬ,"гранате с выдернутой чекой загорелся огнепроводный шнур, зашипев, вспыхнула окись свинца",
10805,СЕНОКОС,КОСЬБА, А ныне…  Такие времена…  Сенокос…  И комбайны…  Уборка заходит… ,
10806,МУХОМОР,ЯДОВИТЫЙ ГРИБ,"презумпция невиновности"", но прав перезревший мухомор, изымая из библиотеки Фрейда, Ломброзо",
10807,ВОЕННО-ПРИКЛАДНОЙ ВИД СПОРТА,ВИД СПОРТА,,
10808,ЛЕГКАЯ АТЛЕТИКА,ВИД СПОРТА,Официально― сильнее всех на планете.   Лёгкая атлетика.  Мадрид. ,
10809,ТЯЖЕЛАЯ АТЛЕТИКА,ВИД СПОРТА," Давно прошли времена, когда тяжелая атлетика считалась исключительно мужским видом",
10810,БОКС,ВИД СПОРТА,"там можно было смотреть борьбу, бокс и катч. ",
10811,СПОРТИВНАЯ ИГРА,ВИД СПОРТА, Спортивная игра «Орленок» после 15-летнего,
10812,ВЕЛОСИПЕДНЫЙ СПОРТ,ВИД СПОРТА,"атлетике, лыжные гонки, конькобежный и велосипедный спорт, плавание и т.д",
10813,ХУДОЖЕСТВЕННАЯ ГИМНАСТИКА,ВИД СПОРТА," Яна Кудрявцева Художественная гимнастика Яна Кудрявцева, дочь олимпийского",
10814,КОННЫЙ СПОРТ,ВИД СПОРТА,удовольствие Антону не по карману: конный спорт очень дорог. ,
10815,МНОГОБОРЬЕ,ВИД СПОРТА,чемпионате Европы и мира в многоборье; лучшее место на Играх ― 5-е,
10816,ТЕХНИЧЕСКИЕ ВИДЫ СПОРТА,ВИД СПОРТА,Практически угасают на фоне безденежья технические виды спорта. ,
10817,ВОДНЫЕ ВИДЫ СПОРТА,ВИД СПОРТА, Водные виды спорта и отдыха здесь,
10818,ЗИМНИЕ ВИДЫ СПОРТА,ВИД СПОРТА," Для Сочи, где зимние виды спорта и так не",
10819,ФЕХТОВАНИЕ,ВИД СПОРТА,терпения и сил ― это взаимосвязано.  Фехтование требует повышенного внимания.  Честно говоря,
10820,АРМРЕСТЛИНГ,ВИД СПОРТА, Почему армрестлинг стал популярен у прекрасного пола,
10821,БОЕВЫЕ ИСКУССТВА,ВИД СПОРТА," [Perfect Enemy, nick]   Зачем вампиру знать боевые искусства, если он и так",
10822,СПОРТИВНАЯ БОРЬБА,ВИД СПОРТА,"М. Игуменов, Б. А. Подливаев «Спортивная борьба». ",
10823,СПОРТИВНАЯ ГИМНАСТИКА,ВИД СПОРТА,уж точно оправдываться не придётся.   СПОРТИВНАЯ ГИМНАСТИКА.  Чемпионат мира. ,
10824,"КУЛЬТУРИЗМ, АТЛЕТИЧЕСКАЯ ГИМНАСТИКА",ВИД СПОРТА,,
10825,СПОРТИВНЫЙ ТУРИЗМ,ВИД СПОРТА,,
10826,СПОРТИВНОЕ ОРИЕНТИРОВАНИЕ,ВИД СПОРТА,"на стене висит диплом за спортивное ориентирование, над компьютером фотография: люди",
10827,ЭКСТРЕМАЛЬНЫЕ ВИДЫ СПОРТА,ВИД СПОРТА,"рабочий стресс снимается адреналиновой атакой, экстремальные виды спорта показаны труженикам успеха",
10828,МОБИЛЬНЫЙ НОМЕР,ТЕЛЕФОННЫЙ НОМЕР,позже.  И снова набрала Катин мобильный номер.  Ей нужно еще раз,
10829,КОНТАКТНЫЙ НОМЕР,ТЕЛЕФОННЫЙ НОМЕР,  • Имя и фамилия участника;   • Контактный номер мобильного телефона;   • Контактный адрес,
10830,ИНТЕРНЕТ-АДРЕС,СЕТЕВОЙ АДРЕС,,
10831,СОПЛИ,СЛИЗЬ (ВЫДЕЛЕНИЯ),"Погибли как настоящие мужчины, что сопли то разводить. ",
10832,ШКОЛЬНЫЙ ПРЕДМЕТ,УЧЕБНЫЙ ПРЕДМЕТ," Ведь это был последний школьный предмет, еще не разложенный в",
10833,ЧЕРНАЯ ИКРА,ИКРА РЫБ,из бочек продавалась красная и чёрная икра по каким-то смешным ценам,
10834,КРАСНАЯ ИКРА,ИКРА РЫБ,"петрушки, листья салата, зелёный лук, красная икра, лимон, апельсин для украшения",
10835,ЛИЧНОЕ СТРАХОВАНИЕ,СТРАХОВАНИЕ,обеспечением страхователя или застрахованного лица (личное страхование). ,
10836,ИМУЩЕСТВЕННОЕ СТРАХОВАНИЕ,СТРАХОВАНИЕ,"портфеле игроков существенную долю, как имущественное страхование транспорта, размер собранных премий",
10837,ПЕРЕСТРАХОВАНИЕ,СТРАХОВАНИЕ, Премия «Ингосстраха» (включая перестрахование) достигла 12 млрд руб. ,
10838,СТРАХОВАНИЕ ОТВЕТСТВЕННОСТИ,СТРАХОВАНИЕ,"таких секторов страхового рынка, как страхование ответственности, недвижимости и иных видов",
10839,ГОСУДАРСТВЕННОЕ СТРАХОВАНИЕ,СТРАХОВАНИЕ,парламенты в умеренной надежде на государственное страхование и пенсии. ,
10840,ПОТОК ВОДЫ,ПОТОК (ДВИЖУЩАЯСЯ МАССА),"и на голову мне обрушился поток воды, пригнул голову к земле",
10841,СТРУЯ (ПОТОК),ПОТОК (ДВИЖУЩАЯСЯ МАССА),,
10842,ТУРБУЛЕНТНОЕ ТЕЧЕНИЕ,ПОТОК (ДВИЖУЩАЯСЯ МАССА)," По современным воззрениям, турбулентное течение представляет собой стохастический конгломерат",
10843,"ДОЖДЬ, МНОЖЕСТВО ПАДАЮЩЕГО",ПОТОК (ДВИЖУЩАЯСЯ МАССА),,
10844,ЛАВИНА (ДВИЖУЩАЯСЯ МАССА),ПОТОК (ДВИЖУЩАЯСЯ МАССА),,
10845,ИНТЕЛЛЕКТУАЛЬНАЯ МИГРАЦИЯ,ТРУДОВАЯ МИГРАЦИЯ,,
10846,РАБОТА ЗА РУБЕЖОМ,ТРУДОВАЯ МИГРАЦИЯ,"для вас”, набирала в Интернете “работа за рубежом”. ",
10847,КРАСНАЯ КНИГА,"РЕЕСТР, РЕГИСТР",память о них хранит лишь Красная книга! ,
10848,ГОСУДАРСТВЕННЫЙ РЕГИСТР,"РЕЕСТР, РЕГИСТР",  ― ЕГРПО ― Единый государственный регистр предприятий и организаций; ,
10849,ЖАЛОБА НА РЕШЕНИЕ СУДА,СУДЕБНАЯ ЖАЛОБА, 3. Кассационная жалоба на решение суда по делу,
10850,ПРАВОПОРЯДОК,ОБЩЕСТВЕННЫЙ ПОРЯДОК,"в искренность его борьбы за правопорядок и законность, пусть отправляется на",
10851,НАРУШЕНИЕ АВТОРСКИХ ПРАВ,ПРЕСТУПЛЕНИЕ ПРОТИВ ЛИЧНОСТИ, Комиссия изучает нарушение авторских прав на компьютерные программы,
10852,ПРЕСТУПЛЕНИЕ ПРОТИВ ЖИЗНИ И ЗДОРОВЬЯ,ПРЕСТУПЛЕНИЕ ПРОТИВ ЛИЧНОСТИ,,
10853,ПОЛОВОЕ ПРЕСТУПЛЕНИЕ,ПРЕСТУПЛЕНИЕ ПРОТИВ ЛИЧНОСТИ,,
10854,"ПРЕСТУПЛЕНИЕ ПРОТИВ СВОБОДЫ, ЧЕСТИ И ДОСТОИНСТВА",ПРЕСТУПЛЕНИЕ ПРОТИВ ЛИЧНОСТИ,,
10855,ЗАГРУЗКА ДАННЫХ,СКАЧИВАНИЕ ИНФОРМАЦИИ,,
10856,ОБРИСОВАТЬ (ОПИСАТЬ),ОПИСАТЬ СЛОВАМИ,,
10857,ОПИСАТЬ В ОБЩИХ ЧЕРТАХ,ОПИСАТЬ СЛОВАМИ,,
10858,ПОЗИЦИОНИРОВАНИЕ,ОПИСАТЬ СЛОВАМИ,"фактом― демонстрация независимости от власти, позиционирование в качестве одной из крупнейших",
10859,"МОДЕЛИРОВАНИЕ ЯВЛЕНИЯ, ПРОЦЕССА",ОПИСАТЬ СЛОВАМИ,,
10860,"ФАКТОГРАФИЯ, ОПИСАНИЕ ФАКТОВ",ОПИСАТЬ СЛОВАМИ,,
10861,ПРОПИСАТЬ (ПОДРОБНО ОПИСАТЬ),ОПИСАТЬ СЛОВАМИ,,
10862,ТЕЛЕВИЗОР,БЫТОВАЯ ЭЛЕКТРОНИКА,у себя дома и смотрите телевизор. ,
10863,МАГНИТОФОН,БЫТОВАЯ ЭЛЕКТРОНИКА,и включите реанимацию.   Верочка включает магнитофон.  Музыка. ,
10864,ВИДЕОМАГНИТОФОН,БЫТОВАЯ ЭЛЕКТРОНИКА,меня лет 10 назад появился видеомагнитофон и записанная вручную кассета с,
10865,ПЛЕЙЕР,БЫТОВАЯ ЭЛЕКТРОНИКА,которого пристегнут мобильный телефон или плейер. ,
10866,ДОМАШНИЙ КИНОТЕАТР,БЫТОВАЯ ЭЛЕКТРОНИКА,"диван, и кухонный гарнитур, и домашний кинотеатр были вехами, знаменовавшими Томин",
10867,ЦИФРОВАЯ ФОТОРАМКА,БЫТОВАЯ ЭЛЕКТРОНИКА,,
10868,ДЕНЕЖНАЯ ВЫРУЧКА,ДЕНЕЖНЫЙ ДОХОД,,
10869,ИНВЕСТИЦИОННЫЙ ДОХОД,ДЕНЕЖНЫЙ ДОХОД," Инвестиционный доход, который получает частный фонд",
10870,САМАРИЙ,ЛАНТАНОИДЫ,"представителями британских компаний по приобретению самарий-кобальтового магнитного оборудования, которое, по",
10871,ПЕПЕЛЬНЫЙ ЦВЕТ,СЕРЫЙ ЦВЕТ, Пепельный цвет печали лежал на воде,
10872,СТАЛЬНОЙ ЦВЕТ,СЕРЫЙ ЦВЕТ,"корабли очень красивы.  Красив корабельный стальной цвет.  (Я знал, что моряки",
10873,СИЗЫЙ ЦВЕТ,СЕРЫЙ ЦВЕТ,"Оно окрасилось в зловещий фиолетово-сизый цвет, развернулось и молниеносно исчезло",
10874,БУРЫЙ ЦВЕТ,СЕРЫЙ ЦВЕТ,с коллоидным железом приобретает жёлто-бурый цвет. ,
10875,ЗАЩИТНЫЙ ЦВЕТ,СЕРЫЙ ЦВЕТ," Происхождение рубашки, защитный цвет которой был сильно разбавлен",
10876,СВИНЦОВЫЙ ЦВЕТ,СЕРЫЙ ЦВЕТ,живот втягивается и лицо принимает свинцовый цвет. ,
10877,ЗЕМЛИСТЫЙ (СЕРОВАТО-БЛЕДНЫЙ),СЕРЫЙ ЦВЕТ,,
10878,МЫШИНЫЙ ЦВЕТ,СЕРЫЙ ЦВЕТ,"ловко, как собственное, а его мышиный цвет, точнее, цвет солдатского шинельного",
10879,ГОСУДАРСТВЕННАЯ ИНСПЕКЦИЯ,ИНСПЕКЦИЯ,"что внутри, главное ― надпись снаружи: «Государственная инспекция безопасности дорожного движения». ",
10880,ХИЩНАЯ ПТИЦА,ХИЩНОЕ ЖИВОТНОЕ, Белая хищная птица с круглыми голубыми глазами,
10881,ХИЩНОЕ МЛЕКОПИТАЮЩЕЕ,ХИЩНОЕ ЖИВОТНОЕ,"литературе можно прочитать, что калан ― хищное млекопитающее семейства куньих, длина тела",
10882,ХИЩНАЯ РЫБА,ХИЩНОЕ ЖИВОТНОЕ,вас на крючке окажется какая-нибудь хищная рыба. ,
10883,ДОБРОВОЛЬНАЯ НАРОДНАЯ ДРУЖИНА,ДРУЖИНА (ДОБРОВОЛЬНОЕ ОБЪЕДИНЕНИЕ),как «Добровольная пожарная дружина» и «Добровольная народная дружина». ,
10884,РАДИАЦИОННАЯ ОПАСНОСТЬ,"ОПАСНОСТЬ, УГРОЗА","период сильных вспышек и факелов радиационная опасность существенно уменьшается, так что",
10885,АВАРИЙНОЕ СОСТОЯНИЕ,"ОПАСНОСТЬ, УГРОЗА",усталостные трещины.  Они пришли в аварийное состояние.  Что делать? ,
10886,ДАМОКЛОВ МЕЧ (ОПАСНОСТЬ),"ОПАСНОСТЬ, УГРОЗА",,
10887,ПОЖАРНАЯ ОПАСНОСТЬ,"ОПАСНОСТЬ, УГРОЗА",понятия «пожароустойчивость» от традиционного ― «природная пожарная опасность лесных участков» [2]. ,
10888,ВЗРЫВООПАСНОСТЬ,"ОПАСНОСТЬ, УГРОЗА", Но и Пахомию взрывоопасность темы церковного землевладения была уже,
10889,ОПАСНОСТЬ СОЦИАЛЬНОГО ВЗРЫВА,"ОПАСНОСТЬ, УГРОЗА",,
10890,ТОПОР,РУЧНОЙ ИНСТРУМЕНТ,"в себя директивные методы управления.  [lafet, nick]   Топор?  [alla, nick]   ! Там на месте разберетесь кто",
10891,РЕЗЕЦ (ИНСТРУМЕНТ),РУЧНОЙ ИНСТРУМЕНТ,,
10892,ОТВЕРТКА,РУЧНОЙ ИНСТРУМЕНТ,"В минимальный набор входят: молоток, отвёртка, киянка, клещи, иглы обойные прямые",
10893,ЛОПАТА,РУЧНОЙ ИНСТРУМЕНТ,"распоряжении созидателей всего-то две руки, лопата и горсть сухих семян… ",
10894,ЩИПЦЫ,РУЧНОЙ ИНСТРУМЕНТ,"Когда его тянули, пришлось наложить щипцы.  От этого голова немного помялась",
10895,МОЛОТОК (РУЧНОЙ ИНСТРУМЕНТ),РУЧНОЙ ИНСТРУМЕНТ,,
10896,ДРЕЛЬ,РУЧНОЙ ИНСТРУМЕНТ,"полукруглые и прямые стамески, молоток, дрель со свёрлами, ножовка, напильник, рубанок",
10897,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ИНВЕНТАРЬ,РУЧНОЙ ИНСТРУМЕНТ,равенство природного (сорняк) и культурного (сельскохозяйственный инвентарь) и нейтрализует оппозиции между,
10898,ДОЛОТО,РУЧНОЙ ИНСТРУМЕНТ,"Америке во времена, когда буровое долото вращала ещё допотопная паровая машина",
10899,МОНТИРОВКА (РУЧНОЙ ИНСТРУМЕНТ),РУЧНОЙ ИНСТРУМЕНТ,,
10900,"БУРАВ, РУЧНАЯ ДРЕЛЬ",РУЧНОЙ ИНСТРУМЕНТ,,
10901,ГАЕЧНЫЙ КЛЮЧ,РУЧНОЙ ИНСТРУМЕНТ,"а норвежцам пришлось самим делать гаечный ключ, чтобы отворить люк затонувшей",
10902,ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ,ГОРОДСКОЙ ТРАНСПОРТ,,
10903,АЛМАЗОДОБЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ,АЛМАЗНАЯ ПРОМЫШЛЕННОСТЬ,"быть, через 10-15 лет алмазодобывающая промышленность исчезнет, рудники закроются, а",
10904,РУКАВ РЕКИ,РЕКА,"князя и, в особенности, через рукав реки открытое море» 79. ",
10905,ПРИТОК РЕКИ,РЕКА,"ручье, впадающем в речку Любимовку (приток реки Лысьвы), расположен геологический памятник",
10906,ТАШТЫП,РЕКА,"в Хакасию, в богатое село Таштып, и не прижившись нигде, дядя",
10907,АРПА,РЕКА,"бронз эпохи Мин, произведений Матисса, Арпа, Бранкузи и современных дюссельдорфских художников",
10908,МАЯ,РЕКА,отношении талибов и «Аль-Каиды» 25 мая ,
10909,ТЫРЫ,РЕКА," А в конце опять ― тыры-пыры, мол, все нормально, и",
10910,УЧУР,РЕКА,"каким волнам блуждают «Тулун», «Ямск», «Учур», «Койма». ",
10911,ТАТТА,РЕКА,"в поселках Амга, Майя, Сангар,Татта  , Хандыга).  В 1996 году ожидается",
10912,ТОМПО,РЕКА,"на восток, сначала вдоль реки Томпо, затем пересекает реку и поднимается",
10913,ХАНДА,РЕКА,"рядом с ним светлейший князь Ханда-Дорчжи, князь Эрдэни-Джонон-Ширнин",
10914,НОТОРА,РЕКА,Сахалина до мысов Тубу и Нотора. ,
10915,ТИМПТОН,РЕКА,,
10916,СЕЛИГДАР,РЕКА,,
10917,БИЯ,РЕКА," И не бия себя в грудь, и не",
10918,АМУР,РЕКА,"спешили, у нас, пардон, был амур с одной из местных дам",
10919,"ЗЕЯ, РЕКА",РЕКА,,
10920,БИРА,РЕКА,"напоминают гору Синай, а речка Бира (раньше писали Биро-Биджан) ― благодатные",
10921,БУРЕЯ,РЕКА,"http: //www.baltkran.ru), ОАО «Бурея-Кран» (пос. ",
10922,ГОРЮН,РЕКА,"где Куин впадает в реку Горюн, приток Амура, поступал сигнал. ",
10923,ШИЛКА,РЕКА,"модернизированный вариант ЗСУ-23-4 ""Шилка"", станции РТР ""Орион"". ",
10924,АМГУНЬ,РЕКА,растворились в тайге южнее реки Амгунь. ,
10925,АРГУНЬ,РЕКА,"была проведена только по реке Аргунь, прочие ориентиры, прописанные в договоре",
10926,ХУНГАРИ,РЕКА,"на Анюй, а верхние ― на Хунгари. ",
10927,ТУНГУСКА,РЕКА,"Бук-М 1-2"", ЗПРК ""Тунгуска-М 1"", модернизированный вариант ЗСУ",
10928,ИЛИМ,РЕКА,"Затем прокуроры заинтересовались деятельностью компании"" Илим Палп ""― одного из ведущих игроков",
10929,КОВА,РЕКА,крестов из собрания миланского коллекционера Кова Минотти. ,
10930,КУДА,РЕКА," [Лилия Рэйман, nick]   . И интересно куда на самом деле ушел 1",
10931,МУРА,РЕКА,они и на классических героев МУРа― Глеба Жеглова и Владимира Шарапова,
10932,"БЕЛАЯ, ПРИТОК АНГАРЫ",РЕКА,,
10933,ИРКУТ,РЕКА,"городом в том месте, где Иркут впадает. ",
10934,КИТОЙ,РЕКА," Мы поужинали китой (мука, размешанная в воде и",
10935,ТАСЕЕВА,РЕКА," Белая, Тасеева, Бирюса, Мана, Ангара, Енисей из",
10936,ЧАДОБЕЦ,РЕКА,"деревни Яркино, расположенной на речке Чадобец, правом притоке реки Ангары. ",
10937,ИРКЕНЕЕВА,РЕКА,,
10938,АМУДАРЬЯ,РЕКА,"товарами из-за рек Пяндж и Амударья, делая остановку в священном Мазари-Шариф",
10939,БАРГУЗИН,РЕКА,"в Восточную Сибирь, в город Баргузин… ",
10940,ОМА,РЕКА,"так, как электрики пользуются законом Ома, почему же менделисты и морганисты",
10941,ПЕША,РЕКА,"Достаточно, если ребёнок буркнет: «Ваня», «Пеша», «Шаша», «Паша», «Федя», за что",
10942,ЧЕША,РЕКА," (Чеша репу), но по-пьяни всё",
10943,ИНДИГА,РЕКА,"Заполярный, Дальние Зеленцы, Гремиха, Шойна, Индига, Нарьян-Мар, северная оконечность острова Сахалин",
10944,ЧЕРНАЯ,РЕКА, Термин «чёрная дыра» введён Дж. Уилером в,
10945,ВОРОНЬЯ,РЕКА," Чего стоит знаменитая ""Воронья слободка"" из ""Золотого телёнка"" Ильфа",
10946,КОРОТАИХА,РЕКА,"реками Индига, Икча, Синг, Адзьва, Коротаиха, Вашуткиными озерами (Малоземельская и Большеземельская",
10947,"БЕЛАЯ, ПРИТОК КАМЫ",РЕКА,,
10948,ЗИГАН,РЕКА,,
10949,НИВА,РЕКА,"и газа нам не прожить.   ""НИВА"" С КАЗАХСКИМ АКЦЕНТОМ   - Даже в",
10950,СТРЕЛЬНА,РЕКА," Тогда Стрельна была дачное место, и не",
10951,"АПУКА, РЕКА",РЕКА,,
10952,ТУЛОМА,РЕКА,него справа от города многоводная Тулома (200 ― 1200 м ширины) и,
10953,"КАМЧАТКА, РЕКА",РЕКА,,
10954,БУГ,РЕКА,"и Черному морю до реки Буг ― 182 батальона, 285 эскадронов и",
10955,ЛЕСНА,РЕКА,"боек, а тут как ворона лесна. ",
10956,НАРЕВ,РЕКА,В. Самсонова сосредоточивалась на реке Нарев и двигалась на юг Восточной,
10957,МУХАВЕЦ,РЕКА,в 7 часов утра чрез Мухавец и стал в колоннах при,
10958,"ВЕТЛУГА, ПРИТОК ВОЛГИ",РЕКА,,
10959,МАРХА,РЕКА,числа она уже на реке Марха у княсца Жарханской волости Абрама,
10960,ВОЛГА,РЕКА,"ночью выпал снег, отчего и Волга стала совсем белой. ",
10961,СОК,РЕКА,"смешиваем с майонезом, добавляем лимонный сок, приправляем. ",
10962,СУРА,РЕКА,юго-запад от древнего Тира (ныне ― Сура). ,
10963,ТЬМА,РЕКА,"откуда следует, что эта кромешная ""тьма вещей"" вообще может стать осмысленной",
10964,УНЖА,РЕКА,пошёл под Кострому в село Унжа. ,
10965,ШОША (ПРИТ. ВОЛГИ),РЕКА,,
10966,ИЛЕТЬ,РЕКА," Илеть), Чемекова ― Садовина З.Ф. (Токтарсола",
10967,НЕРЛЬ (ПРИТОК ВОЛГИ),РЕКА,,
10968,РУТКА,РЕКА,"нее сплавных рек (реки Ветлуга, Рутка), стали давать за последние годы",
10969,ЧАГРА,РЕКА,"якутов, старосту якутов звали Николай Чагра. ",
10970,ВАЗУЗА,РЕКА," Волга и Вазуза, словно испытывая друг друга, каких-нибудь",
10971,МОЛОЧА,РЕКА,весьма избирательное прочтение марксистского текста Молоча как источника «правильной» риторики. ,
10972,САМАРА (ПРИТ. ВОЛГИ),РЕКА,,
10973,СВИЯГА,РЕКА,сброс неочищенных вод в реку Свияга. ,
10974,ТВЕРЦА,РЕКА,"и для обороны излучину реки Тверца, на её правом берегу, откуда",
10975,ЦИВИЛЬ,РЕКА,"ежедневно навещают, оживляют бивак.  Прибежала Цивиль ― монголка-соседка.  Умоляет навестить ее",
10976,ЕРМЕЛАН,РЕКА,,
10977,ЕРУСЛАН,РЕКА,ё-к-л-м-н!..  Еруслан.   Он распарился ― прикрыл тихонечко дверь,
10978,КАЗАНКА,РЕКА,"трех сторон реками Булак и Казанка, а с Арского поля ― глубочайшим",
10979,КЕРЖЕНЕЦ,РЕКА,"священниками, ― на раскольничьи собеседования за Керженец, к Светлому озеру («Китеж-Град»). ",
10980,"КОСТРОМА, ПРИТОК ВОЛГИ",РЕКА,,
10981,СОЛОНИЦА,РЕКА,"У меня, если я захочу… солоница и та заговорит, во! ",
10982,СЫЗРАНКА,РЕКА,МинЧС.  Нефть вылилась в реку Сызранка.  В настоящее время нефтепровод перекрыт,
10983,ЧАПАЕВКА,РЕКА,"фронта на рубеж Гуляй Поле, Чапаевка, Вершино, Дмитриевка ",
10984,КОРОЖЕЧНА,РЕКА,,
10985,КОТОРОСЛЬ,РЕКА,речка Медведица) впадает в реку Которосль. ,
10986,"ВОРОНЕЖ, ПРИТОК ДОНА",РЕКА,,
10987,ВОРСКЛА,РЕКА, Ворскла Андрей.  Съедение человека не считалось,
10988,МЕРЛА,РЕКА," И хоть именно тогда мерла от голода Украина, страну заполнили",
10989,КОЛОМАК,РЕКА,начиналась со времени прихода на Коломак неотразимых горьковцев. ,
10990,ВЫЧЕГДА,РЕКА,"ан): Рязанцев, Вычегжанин (от реки Вычегда), Москвитин. ",
10991,ВЯТКА,РЕКА,"  ― Сейчас не Вятка, а город Киров, ― поправил торговец",
10992,РИОНИ,РЕКА,тихим городом на берегах реки Риони. ,
10993,СУЛАК,РЕКА,"но крепенькой, в большое село Сулак Краснопартизанского района Саратовской области, устроилась",
10994,ДНЕПР,РЕКА,"счёту, запуск конверсионной ракеты-носителя ""Днепр-1"" (она создана на базе",
10995,ВОПЬ,РЕКА,"моста через приток Днепра реку Вопь, десантники взорвали мосты и тем",
10996,ПСЕЛ,РЕКА,"небольшом пространстве, зажатом между рекой Псел и железнодорожной насыпью, сближались две",
10997,РОСЬ,РЕКА,"Вернуться к себе на речку Рось, где возник русский народ, и",
10998,СУЛА,РЕКА,"выходящая от Днепра и р.  Сула, от которой тоже их производят",
10999,"ДЕСНА, ПРИТОК ДНЕПРА",РЕКА,,
11000,ДРУТЬ,РЕКА,Белыничи и переправы через реку Друть. ,
11001,ОРЕЛЬ,РЕКА,"  ― Я?  (гордо, грудь вперед) ОРЕЛЬ!   ― Да, а что ты такой",
11002,СУПОЙ,РЕКА,"что лежит в долине речки Супой, проживала моя ныне покойная бабушка",
11003,"ВЯЗЬМА, ПРИТОК ДНЕПРА",РЕКА,,
11004,"ИРПЕНЬ, ПРИТОК ДНЕПРА",РЕКА,,
11005,ТРУБЕЖ,РЕКА,"Переславля, что на берегу реки Трубеж, расположился научный совет по комплексной",
11006,ТЯСМИН,РЕКА," Река Тясмин, так же как и в",
11007,ВОРКСЛА,РЕКА,,
